k,Xk,Gradiente,Xk + 1,Tolerancia
1,"(-4, 4)","(-61.5, 66.5)","(-3.385, 3.335)",0.9057869506677607
2,"(-3.385, 3.335)","(-20.912183249999984, 23.325240749999992)","(-3.1758781675, 3.1017475925)",0.31327085155293954
3,"(-3.1758781675, 3.1017475925)","(-10.75104762582648, 12.55486152010414)","(-3.0683676912417353, 2.9761989772989588)",0.16529052387895107
4,"(-3.0683676912417353, 2.9761989772989588)","(-6.182745929374541, 7.605730967609567)","(-3.00654023194799, 2.9001416676228633)",0.09801708564268387
5,"(-3.00654023194799, 2.9001416676228633)","(-3.749299316946477, 4.882882215502605)","(-2.969047238778525, 2.851312845467837)",0.06156280053614117
6,"(-2.969047238778525, 2.851312845467837)","(-2.3409810852381128, 3.2412554738462944)","(-2.945637427926144, 2.818900290729374)",0.0399824079917422
7,"(-2.945637427926144, 2.818900290729374)","(-1.4870961533093165, 2.1966798400270946)","(-2.9307664663930506, 2.796933492329103)",0.026527075392453206
8,"(-2.9307664663930506, 2.796933492329103)","(-0.9547410903734104, 1.508973522507901)","(-2.9212190554893165, 2.7818437571040238)",0.017856460011092243
9,"(-2.9212190554893165, 2.7818437571040238)","(-0.6170620805457858, 1.0459563559510414)","(-2.9150484346838588, 2.771384193544513)",0.012144094489923481
10,"(-2.9150484346838588, 2.771384193544513)","(-0.4005161985279173, 0.7294754242613593)","(-2.9110432726985795, 2.7640894393018995)",0.008321944603784328
11,"(-2.9110432726985795, 2.7640894393018995)","(-0.2606758681037533, 0.5109083262946896)","(-2.908436514017542, 2.7589803560389528)",0.005735671068749341
12,"(-2.908436514017542, 2.7589803560389528)","(-0.16996191495493207, 0.3588800792287685)","(-2.9067368948679926, 2.755391555246665)",0.003970918833247514
13,"(-2.9067368948679926, 2.755391555246665)","(-0.11094372076195214, 0.25260688514523366)","(-2.905627457660373, 2.752865486395213)",0.0027589626238728087
14,"(-2.905627457660373, 2.752865486395213)","(-0.07247357546737732, 0.17805919161910566)","(-2.9049027219056995, 2.751084894479022)",0.0019224332201942568
15,"(-2.9049027219056995, 2.751084894479022)","(-0.047366270829016344, 0.1256381983096091)","(-2.9044290591974096, 2.749828512495926)",0.0013427032615856494
16,"(-2.9044290591974096, 2.749828512495926)","(-0.030966881946099534, 0.08871303978914824)","(-2.9041193903779488, 2.7489413820980344)",0.0009396249893493165
17,"(-2.9041193903779488, 2.7489413820980344)","(-0.02024959939238613, 0.06267158784276461)","(-2.903916894384025, 2.7483146662196067)",0.0006586178101362079
18,"(-2.903916894384025, 2.7483146662196067)","(-0.013243252532078031, 0.044290176401268866)","(-2.903784461858704, 2.747871764455594)",0.0004622773478427302
19,"(-2.903784461858704, 2.747871764455594)","(-0.008661869491362495, 0.031307796481655714)","(-2.9036978431637905, 2.7475586864907773)",0.0003248393608573907
20,"(-2.9036978431637905, 2.7475586864907773)","(-0.005665704919877612, 0.022134726758295642)","(-2.9036411861145917, 2.7473373392231943)",0.00022848333438208937
21,"(-2.9036411861145917, 2.7473373392231943)","(-0.003706063372227675, 0.01565128300587304)","(-2.9036041254808693, 2.7471808263931354)",0.00016084078010551096
22,"(-2.9036041254808693, 2.7471808263931354)","(-0.0024242788403086024, 0.01106786819335781)","(-2.9035798826924664, 2.747070147711202)",0.00011330261878751459
23,"(-2.9035798826924664, 2.747070147711202)","(-0.001585840084395329, 0.007827175284809584)","(-2.9035640242916223, 2.746991875958354)",7.98621072301073e-05
