Fecha, Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
2026-04-12_13-21-36, 0, 9.913346504745862, 0.2659599524968752, -14.374897003173828, 9.848198651068826, 0.4449488339102199, -7.410461902618408, -14.374897003173828, 0.9750209140777588, 0.01, 0.1
2026-04-12_13-21-36, 1, 9.985691033174312, 0.27474524809893713, -14.51538372039795, 9.999775101396828, 0.30743599874479693, -13.312464714050293, -14.51538372039795, 0.16840866088867187, 0.05, 0.2
2026-04-12_13-21-36, 2, 9.991579823468456, 0.2847808718095173, -14.514699935913086, 9.99106643060888, 0.429750264769203, -8.11957836151123, -14.514699935913086, 0.9899924755838108, 0.1, 0.3
2026-04-12_13-21-36, 3, 9.99464369480672, 0.2881400535052135, -14.533499717712402, 9.995950620891561, 0.16779026015045767, -11.184422492980957, -14.533499717712402, 0.628000553790448, 0.2, 0.4
2026-04-12_13-21-36, 4, 9.99896509267478, 0.2779208419572462, -14.522578239440918, 9.997724112847335, 0.07375106592339103, -6.84109354019165, -14.492213726043701, 1.1395225932888715, 0.3, 0.5
2026-04-12_13-21-36, 5, 9.999953894657885, 0.27316937443867806, -14.514782905578613, 9.999975793209098, 0.4477935428050247, -7.279114246368408, -14.514062881469727, 1.3318105467606756, 0.4, 0.6
2026-04-12_13-21-36, 6, 9.998550406193873, 0.28809854429696097, -14.533573150634766, 9.999969909122335, 0.4112827160514306, -9.625823020935059, -14.280072689056396, 1.2098334775705952, 0.5, 0.7
2026-04-12_13-21-36, 7, 9.99919203179835, 0.2864924087030678, -14.532219886779785, 9.999194033078416, 0.4261132719255977, -8.284991264343262, -14.141014099121094, 1.4016212138287136, 0.6, 0.8
2026-04-12_13-21-36, 8, 9.99983290807527, 0.28809855783054406, -14.533573150634766, 9.999993104427677, 0.4108906640113219, -8.836321830749512, -13.65729284286499, 1.117077122729624, 0.7, 0.9
2026-04-12_13-21-36, 9, 9.997953878553071, 0.28813855552190676, -14.533573150634766, 9.994499908974278, 0.11705206597352918, -9.031920433044434, -13.596261978149414, 1.2685027634705657, 0.8, 1.0
